Reihenfolge;Name1;;Name2;;Name3;;Name4;;Gesamt;Start;Zeit1;Geschwindigkeit1;Zeit2;Geschwindigkeit2;Zeit3;Geschwindigkeit3;Zeit4;Geschwindigkeit4;Zeit5;Geschwindigkeit5;Zeit6;Geschwindigkeit6;Zeit7;Geschwindigkeit7;Zeit8;Geschwindigkeit8;Zeit9;Geschwindigkeit9;Zeit10;Geschwindigkeit10;Zeit11;Geschwindigkeit11;Zeit12;Geschwindigkeit12;Zeit13;Geschwindigkeit13;Zeit14;Geschwindigkeit14;Zeit15;Geschwindigkeit15;Zeit16;Geschwindigkeit16;Zeit17;Geschwindigkeit17;Zeit18;Geschwindigkeit18;Zeit19;Geschwindigkeit19;Zeit20;Geschwindigkeit20;Zeit21;Geschwindigkeit21;Zeit22;Geschwindigkeit22;Zeit23;Geschwindigkeit23;Zeit24;Geschwindigkeit24;Zeit25;Geschwindigkeit25;Zeit26;Geschwindigkeit26;Zeit27;Geschwindigkeit27;Zeit28;Geschwindigkeit28;Zeit29;Geschwindigkeit29;Zeit30;Geschwindigkeit30;Zeit31;Geschwindigkeit31;Zeit32;Geschwindigkeit32
1;Becker-Wiedemann;Uli;Kloos ;Thomas;;;;;59.80;Bobstart;3.15;23.031;4.32;31.357;6.47;37.325;9.40;48.490;11.22;59.155;14.63;69.860;20.40;69.147;25.44;72.782;27.63;74.660;31.54;79.736;33.06;90.528;40.13;86.328;42.75;95.414;46.36;105.333;51.07;115.927;52.56;123.365;54.24;126.262;54.52;126.626;59.80;112.612
2;Hanssen;Yuri;???;;;;;;58.49;Bobstart;2.69;26.995;3.79;33.445;5.83;39.341;8.64;50.351;10.42;60.659;13.78;71.069;19.46;70.113;24.42;73.931;26.58;75.863;30.44;80.694;31.94;91.482;38.94;87.342;41.52;96.559;45.09;106.421;49.78;116.711;51.26;124.046;52.92;126.916;53.21;127.343;58.49;112.570
3;Böhmer;Lena;???;;;;;;58.57;Bobstart;2.72;26.631;3.83;33.257;5.85;39.669;8.66;50.453;10.43;60.920;13.78;71.311;19.45;70.260;24.40;74.079;26.55;76.217;30.41;80.832;31.90;91.770;38.89;87.461;41.47;96.585;45.06;105.962;49.76;116.114;51.26;123.307;52.94;125.646;53.22;126.271;58.57;111.217
4;Candrix;Charlotte;???;;;;;;59.34;Bobstart;2.88;25.162;4.04;31.847;6.16;37.771;9.05;49.086;10.85;59.713;14.25;70.315;20.00;69.274;25.00;73.365;27.17;75.245;31.06;80.354;32.57;90.738;39.67;86.057;42.28;95.586;45.88;105.491;50.59;116.141;52.08;123.315;53.75;126.202;54.04;126.006;59.34;112.319
5;Harms;Celine;???;;;;;;DNS
